Qualtrics ID,Question,Answer
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",sycophants
2,What broad group of animals are the first true tetrapods?,amphibians
6,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
10,What living species of bird is considered the largest of the raptors?,golden eagles
12,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
14,"Ancient generals, lacking modern technologies such as radio and satellite communication, often found that one of the most significant challenges in warfare was accurate _____ of the myriad of changes on the battlefield or in the campaign.",appraisal
15,"Dismissed by the establishment, professing nothing but disdain for the canon, and yet beloved by his followers who trumpet his _____ opinions, the raffish pundit is laughing all the way to the bank.",iconoclastic
17,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
21,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).","iv, i, iii, v, ii"
22,What are the hormones that cause a plant to grow?,gibberellins
23,What is the correct method for saving someone from choking?,Five back blows followed by five abdominal thrusts if necessary
28,How long can high-acid canned food such as tomatoes be stored?,12 to 18 months
32,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,prodigious
40,"When your brain senses that your body temperature is increasing, it sends messages to the blood vessels in the skin to increase in what?",diameter
41,"What arises due to crossing over, independent assortment, and the random union of gametes?",genetic variation
42,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
43,Voters have become so inured to the fickle nature of politicians that they responded to the levy of a new tax with _____ .,stolidity
44,What should you NOT do while treating cuts and scrapes?,Wash the wound with soap
46,Most insects reproduce quickly and through what type of reproduction?,sexual reproduction
54,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",enervation
55,While she may have answered him truthfully - in the strictest sense of the word - it became clear to Sergei after the incident that Sheryl had actually been trying to _____ .,obfuscate
56,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,FALSE
58,What are classified by climatic factors and types of primary producers?,terrestrial biomes
