Qualtrics ID,Question,Answer
1,"Though many _____ endlessly praised his work, Dan often wished for some honest criticism.",sychophants
2,What broad group of animals are the first true tetrapods?,amphibians
3,On what day of the cycle does ovulation usually occur?,14th
5,What is the most abundant metal of the earth's crust?,aluminum
6,"Arrange in the correct the steps to take when someone splashes a chemical into the eye: (i) call a doctor, (ii) take out any contact lenses, (iii) flush the eyes with plenty of water, (iv) wash your hands with soap and water.","iii, iv, ii, i"
7,"True or false: if you wear a back belt, you can lift more weight than you could without a belt.",FALSE
10,What living species of bird is considered the largest of the raptors?,golden eagles
12,Which fire extinguishers are used to put out Class A fires?,Both water and multi-purpose dry chemical
17,"Video game enthusiasts know that, while the astounding advances in technological innovation might increase the level of fun of the gaming experience, such a result is by no means _____ .",ineluctable
21,"Arrange in the correct order the following treatment steps for somebody who has lost consciousness: (i) call 911 or inform someone of the situation, (ii) begin CPR, (iii) check the patient's airway to make sure it is clear, (iv) place the victim on his\/her back, (v) check signs of life (coughing, breathing, or movement).","iv, i, iii, v, ii"
22,What are the hormones that cause a plant to grow?,gibberellins
23,What is the correct method for saving someone from choking?,Five back blows followed by five abdominal thrusts if necessary
28,How long can high-acid canned food such as tomatoes be stored?,12 to 18 months
30,What should you do if you are unable to evacuate a burning building?,Stay low under the smoke
31,To what does the acronym SLM refer?,Sound Level Meter
32,The Erie Canal's completion caused _____ economic ripples; property values and industrial output along its route rose exponentially.,prodigious
34,How often should women perform a breast self-exam?,monthly
36,"In psychological literature, the ""sleeper effect"" refers to the phenomenon in which a persuasive message from a trustworthy source loses _____ over time, while the efficacy of a message from a less credible source simultaneously increases.",cogency
37,What are the little sacs at the end of the bronchioles called?,alveoli
42,"When using a ladder to climb a roof, the ladder must extend at least___ above it.",36
44,What should you NOT do while treating cuts and scrapes?,Wash the wound with soap
46,Most insects reproduce quickly and through what type of reproduction?,sexual reproduction
51,What does CERT stand for?,Community Emergency Response Team
52,What disease characterized by the extreme swelling of the limbs is caused by infection with a type of roundworm?,elephantiasis
54,"Prior to taking on the new invader, the defending army had engaged in arduous combat; it is likely that the _____ resulting from waging two battles in two days played a part in its subsequent defeat.",enervation
56,True or false: wearing a back belt is a proven way to minimize the risk of back injury at work.,FALSE
60,True or false: portable fire extinguishers should only be used by trained employees.,TRUE
